Person ID,Name,Freebase ID
834,Otto Preminger,/en/otto_preminger
836,André F. Nebe,
841,Raoul B. Reinert,
843,Katrin Lehnert,
844,Wendell Mayes,
845,Sven O. Hill,
846,John D. Voelker,
847,Ursula Buschhorn,
848,Hans-Werner Meyer,
849,Eli Lotar,
850,Diana Karsten,
851,Anne Dudley,
852,Gerald B. Greenberg,
853,Alan Heim,
854,James Stewart,/en/james_stewart
855,Lee Remick,/en/lee_remick
856,Ben Gazzara,/en/ben_gazzara
857,Arthur O'Connell,/en/arthur_oconnell
858,Duke Ellington,/en/duke_ellington
859,Valerie McCaffrey,
860,Eve Arden,/en/eve_arden
861,Kathryn Grant,/en/kathryn_crosby
862,George C. Scott,/en/george_c_scott
863,Orson Bean,/en/orson_bean
865,Michael Bay,/en/michael_bay
866,Russ Brown,/en/russ_brown
867,Marc Meyer,
868,Faysal Omer,
869,Gale Anne Hurd,
870,Sam Leavitt,
871,Louis R. Loeffler,
873,Robert Roy Pool,
874,Boris Leven,
875,Peter Polsak-Lohmann,
876,Jonathan Hensleigh,
877,Richard Carruth,
878,Jack Solomon,
879,Billy Bob Thornton,/en/billy_bob_thornton
880,Ben Affleck,/en/ben_affleck
881,Irving Rosenberg,
882,Liv Tyler,/en/liv_tyler
883,Will Patton,/en/will_patton
884,Steve Buscemi,
885,James Almond,
886,William Fichtner,/en/william_fichtner
887,Owen Wilson,/en/owen_wilson
891,Moritz Hoffmeister,
892,John Schwartzman,
893,Tony Scott,/en/tony_scott
894,Trevor Rabin,
896,Michael White,
897,Bonnie Timmermann,/en/bonnie_timmermann
898,Mark Goldblatt,/en/mark_goldblatt
899,Glen Scantlebury,
900,Christopher Boyes,
901,Rita Lengyel,
902,Milton Welsh,
903,Lawrence A. Hubbs,
904,Jeffrey L. Kimball,
905,Bruton Jones,
906,Rick Simpson,
907,Magali Guidasci,
908,Michael Tronick,
909,Billy Weber,
910,Steve Grumette,
911,Robert D. Wachs,
912,Larry Ferguson,
913,Warren Skaaren,
914,Anna Haas,
915,David Giler,
916,Dennis Klein,/en/dennis_klein
917,Jesko Klatt,
919,Jan Raiber,
920,Jürgen Prochnow,/en/jurgen_prochnow
921,Brigitte Nielsen,/en/brigitte_nielsen
922,Allen Garfield,/en/allen_garfield
923,Dean Stockwell,/en/dean_stockwell
925,Paul Guilfoyle,/en/paul_guilfoyle
926,Ola Ray,/en/ola_ray
928,Rebecca Ferratti,
929,David Franzoni,/en/david_franzoni
930,Branko Lustig,/en/branko_lustig
931,Douglas Wick,
932,John Logan,
933,William Nicholson,/en/william_nicholson_1948
934,Russell Crowe,/en/russell_crowe
935,Connie Nielsen,/en/connie_nielsen
936,Oliver Reed,/en/oliver_reed
937,Derek Jacobi,/en/derek_jacobi
938,Djimon Hounsou,/en/djimon_hounsou
939,David Schofield,/en/david_schofield
940,John Shrapnel,/en/john_shrapnel
941,Tomas Arana,
942,Ralf Moeller,/en/ralf_moeller
943,John Mathieson,
944,Arthur Max,
945,Crispian Sallis,
946,Janty Yates,
947,Hans Zimmer,
948,Lisa Gerrard,
949,Louis DiGiaimo,
950,Pietro Scalia,
951,Colin Coull,
952,Agustín Almodóvar,
953,Cecilia Roth,/en/cecilia_roth
954,Marisa Paredes,
955,Penélope Cruz,/en/penelope_cruz
956,Guy Ritchie,/en/guy_ritchie
957,Matthew Vaughn,
958,Candela Peña,
959,David A. Hughes,
960,John Murphy,
961,Antonia San Juan,
962,Rosa María Sardà,
963,Toni Cantó,
964,Eloy Azorín,/en/eloy_azorin
965,Fernando Fernán Gómez,/en/fernando_fernan_gomez
966,Tim Maurice-Jones,
967,Iain Andrews,
968,Eve Mavrakis,
970,Celestia Fox,
971,Niven Howie,
973,Jason Flemyng,/en/jason_flemyng
974,Dexter Fletcher,/en/dexter_fletcher
